,Company,Ticker,Market Cap (Billion USD)
0,Apple Inc.,AAPL,2857.35387136
1,Microsoft,MSFT,2849.778958336
2,Nvidia,NVDA,2671.555903488
3,Amazon,AMZN,1909.86059776
4,Alphabet Inc. (Class A),GOOGL,1895.803256832
5,Alphabet Inc. (Class C),GOOG,1893.208948736
6,Meta Platforms,META,1376.284049408
7,Berkshire Hathaway,BRK-B,1105.984749568
8,"Tesla, Inc.",TSLA,822.179201024
9,Broadcom,AVGO,821.454176256
10,Walmart,WMT,725.805563904
11,JPMorgan Chase,JPM,647.771062272
12,Lilly (Eli),LLY,645.824708608
13,Visa Inc.,V,626.822152192
14,UnitedHealth Group,UNH,537.5213568
15,Mastercard,MA,455.3662464
16,ExxonMobil,XOM,432.355966976
17,Costco,COST,422.297468928
18,Netflix,NFLX,396.151259136
19,Procter & Gamble,PG,382.831919104
20,Oracle Corporation,ORCL,366.484815872
21,Johnson & Johnson,JNJ,358.477266944
22,Home Depot (The),HD,349.320937472
23,Coca-Cola Company (The),KO,304.69275648
24,AbbVie,ABBV,300.558548992
25,T-Mobile US,TMUS,293.484265472
26,Bank of America,BAC,270.43160064
27,Salesforce,CRM,243.003277312
28,Philip Morris International,PM,236.843286528
29,Chevron Corporation,CVX,235.380998144
30,Cisco,CSCO,224.693813248
31,McDonald's,MCD,220.049113088
32,Abbott Laboratories,ABT,215.836114944
33,IBM,IBM,214.12380672
34,Palantir Technologies,PLTR,208.760487936
35,Linde plc,LIN,206.149435392
36,Wells Fargo,WFC,201.558327296
37,PepsiCo,PEP,196.207034368
38,Merck & Co.,MRK,193.510391808
39,AT&T,T,190.711595008
40,GE Aerospace,GE,189.397942272
41,Verizon,VZ,185.799901184
42,Intuitive Surgical,ISRG,174.218379264
43,Accenture,ACN,174.112210944
44,Morgan Stanley,MS,172.319670272
45,American Express,AXP,171.249631232
46,RTX Corporation,RTX,167.700660224
47,Intuit,INTU,162.017345536
48,Thermo Fisher Scientific,TMO,161.140015104
49,Progressive Corporation,PGR,158.51528192
